Baranggay,Year,Month,Max Temperature,Min Temperature,Max Humidity,Min Humidity,Daily Precipitation,Forest Land Percentage,Elevation,Soil Type,Dengue Cases
Lapu-Lapu,2022,JULY,34.2,22.1,89,77,9.9,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2022,AUG,34.1,21,86,71,5,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2023,MAR,32.2,23.9,87,73,8.3,11.55,Low,Camasan sandy clay loam,1
Lapu-Lapu,2023,APR,33.7,21.8,82,64,6.2,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2023,MAY,33.7,21.9,83,69,12.9,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2023,JUNE,33.7,21.4,87.57,69,11.7,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2023,JULY,32.4,21.2,85,72,5.7,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2023,AUG,33.6,21.5,85,70,12.3,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2024,JAN,34.7,27.5,82,68,0.7,11.55,Low,Camasan sandy clay loam,1
Lapu-Lapu,2024,FEB,34.3,25.4,83,70,1.8,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2024,MAR,35.8,25.5,78,64,1,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2024,APR,34.4,25.43,82,69,5.4,11.55,Low,Camasan sandy clay loam,0
Lapu-Lapu,2024,MAY,35.4,24.6,83,73,6.8,11.55,Low,Camasan sandy clay loam,0
Pangi,2019,JAN,30.7,22.3,93,76,11.3,0,Low,Camasan sandy clay loam,0
Pangi,2019,FEB,32.3,22.5,85,63,0.9,0,Low,Camasan sandy clay loam,0
Pangi,2019,MAR,32.8,23.2,85,65,4.4,0,Low,Camasan sandy clay loam,0
Pangi,2019,APR,34,24.7,82,69,2.2,0,Low,Camasan sandy clay loam,0
Pangi,2019,MAY,34.5,25.4,84,65,8.1,0,Low,Camasan sandy clay loam,0
Pangi,2019,JUNE,33.7,24.9,87.9,73,10.6,0,Low,Camasan sandy clay loam,0
Pangi,2019,JULY,32.2,23.8,90,74,6,0,Low,Camasan sandy clay loam,0
Pangi,2019,AUG,32.9,24.9,84,72,6.5,0,Low,Camasan sandy clay loam,0
Pangi,2019,SEPT,33.4,24.9,86,76,2,0,Low,Camasan sandy clay loam,0
Pangi,2019,OCT,33.9,24.3,87,72,8.6,0,Low,Camasan sandy clay loam,2
Pangi,2019,NOV,34.3,24.1,87,64,4.2,0,Low,Camasan sandy clay loam,0
Pangi,2019,DEC,32.3,23.2,89.1,71.6,5.4,0,Low,Camasan sandy clay loam,0
Pangi,2020,JAN,32.2,22.7,90,71,4.5,0,Low,Camasan sandy clay loam,0
Pangi,2020,FEB,32.4,22.1,89,72,1.2,0,Low,Camasan sandy clay loam,1
Pangi,2020,MAR,34.1,23,87,76,2.2,0,Low,Camasan sandy clay loam,2
Pangi,2020,APR,35,23.8,82,90,1.8,0,Low,Camasan sandy clay loam,1
Pangi,2020,MAY,34.4,24.9,89,76,7.2,0,Low,Camasan sandy clay loam,0
Pangi,2020,JUNE,34,23.5,89.8,78,9.6,0,Low,Camasan sandy clay loam,0
Pangi,2020,JULY,33.8,23.5,87,74,4.5,0,Low,Camasan sandy clay loam,0
Pangi,2020,AUG,33.7,22.8,91,70,17.7,0,Low,Camasan sandy clay loam,0
Pangi,2020,SEPT,34,23.3,88,72,4.3,0,Low,Camasan sandy clay loam,0
Pangi,2020,OCT,33.7,23.5,89,71,7.8,0,Low,Camasan sandy clay loam,0
Pangi,2020,NOV,33.6,23,88,76,8.4,0,Low,Camasan sandy clay loam,0
Pangi,2020,DEC,32.9,21.8,91.9,77.4,5.2,0,Low,Camasan sandy clay loam,0
Pangi,2021,JAN,34.7,27.5,82,68,0.7,0,Low,Camasan sandy clay loam,0
Pangi,2021,FEB,34.3,25.4,83,70,1.8,0,Low,Camasan sandy clay loam,0
Pangi,2021,MAR,35.8,25.5,78,64,1,0,Low,Camasan sandy clay loam,0
Pangi,2021,APR,34.4,25.43,82,69,5.4,0,Low,Camasan sandy clay loam,2
Pangi,2021,MAY,35.4,24.6,83,73,6.8,0,Low,Camasan sandy clay loam,0
Pangi,2021,JUNE,32.2,24.13,87,77,9.7,0,Low,Camasan sandy clay loam,2
Pangi,2021,JULY,35.1,23.8,84,70,8.2,0,Low,Camasan sandy clay loam,0
Pangi,2021,AUG,34.3,22.9,88,72,5,0,Low,Camasan sandy clay loam,0
Pangi,2021,SEPT,34.3,23,88,72,8.9,0,Low,Camasan sandy clay loam,0
Pangi,2021,OCT,34.5,22.4,89,71,6.9,0,Low,Camasan sandy clay loam,0
Pangi,2021,NOV,32.7,22.3,89,76,7.2,0,Low,Camasan sandy clay loam,0
Pangi,2021,DEC,31.9,21.8,90.3,79.9,4,0,Low,Camasan sandy clay loam,0
Pangi,2022,JAN,32.2,21.2,89,73,8.9,0,Low,Camasan sandy clay loam,0
Pangi,2022,FEB,29.8,19.6,90,75,7.6,0,Low,Camasan sandy clay loam,0
Pangi,2022,MAR,31.7,21.6,89,78,9.5,0,Low,Camasan sandy clay loam,1
Pangi,2022,APR,33.1,22.4,82,76,18.2,0,Low,Camasan sandy clay loam,0
Pangi,2022,MAY,32.6,22.3,87,76,6.9,0,Low,Camasan sandy clay loam,0
Pangi,2022,JUNE,34.1,22.3,82.4,66,3.6,0,Low,Camasan sandy clay loam,1
Pangi,2022,JULY,34.2,22.1,89,77,9.9,0,Low,Camasan sandy clay loam,1
Pangi,2022,AUG,34.1,21,86,71,5,0,Low,Camasan sandy clay loam,0
Pangi,2023,MAR,32.2,23.9,87,73,8.3,0,Low,Camasan sandy clay loam,0
Pangi,2023,APR,33.7,21.8,82,64,6.2,0,Low,Camasan sandy clay loam,0
Pangi,2023,MAY,33.7,21.9,83,69,12.9,0,Low,Camasan sandy clay loam,0
Pangi,2023,JUNE,33.7,21.4,87.57,69,11.7,0,Low,Camasan sandy clay loam,0
Pangi,2023,JULY,32.4,21.2,85,72,5.7,0,Low,Camasan sandy clay loam,0
Pangi,2023,AUG,33.6,21.5,85,70,12.3,0,Low,Camasan sandy clay loam,0
Pangi,2024,JAN,34.7,27.5,82,68,0.7,0,Low,Camasan sandy clay loam,0
Pangi,2024,FEB,34.3,25.4,83,70,1.8,0,Low,Camasan sandy clay loam,0
Pangi,2024,MAR,35.8,25.5,78,64,1,0,Low,Camasan sandy clay loam,0
Pangi,2024,APR,34.4,25.43,82,69,5.4,0,Low,Camasan sandy clay loam,0
Pangi,2024,MAY,35.4,24.6,83,73,6.8,0,Low,Camasan sandy clay loam,0
New Visayas,2019,JAN,30.7,22.3,93,76,11.3,90.95,Low,Camasan sandy clay loam,0
New Visayas,2019,FEB,32.3,22.5,85,63,0.9,90.95,Low,Camasan sandy clay loam,0
New Visayas,2019,MAR,32.8,23.2,85,65,4.4,90.95,Low,Camasan sandy clay loam,0
New Visayas,2019,APR,34,24.7,82,69,2.2,90.95,Low,Camasan sandy clay loam,0
New Visayas,2019,MAY,34.5,25.4,84,65,8.1,90.95,Low,Camasan sandy clay loam,0
New Visayas,2019,JUNE,33.7,24.9,87.9,73,10.6,90.95,Low,Camasan sandy clay loam,0
New Visayas,2019,JULY,32.2,23.8,90,74,6,90.95,Low,Camasan sandy clay loam,0
New Visayas,2019,AUG,32.9,24.9,84,72,6.5,90.95,Low,Camasan sandy clay loam,0
New Visayas,2019,SEPT,33.4,24.9,86,76,2,90.95,Low,Camasan sandy clay loam,0
New Visayas,2019,OCT,33.9,24.3,87,72,8.6,90.95,Low,Camasan sandy clay loam,0
New Visayas,2019,NOV,34.3,24.1,87,64,4.2,90.95,Low,Camasan sandy clay loam,0
New Visayas,2019,DEC,32.3,23.2,89.1,71.6,5.4,90.95,Low,Camasan sandy clay loam,0
New Visayas,2020,JAN,32.2,22.7,90,71,4.5,90.95,Low,Camasan sandy clay loam,0
New Visayas,2020,FEB,32.4,22.1,89,72,1.2,90.95,Low,Camasan sandy clay loam,0
New Visayas,2020,MAR,34.1,23,87,76,2.2,90.95,Low,Camasan sandy clay loam,0
New Visayas,2020,APR,35,23.8,82,90,1.8,90.95,Low,Camasan sandy clay loam,0
New Visayas,2020,MAY,34.4,24.9,89,76,7.2,90.95,Low,Camasan sandy clay loam,0
New Visayas,2020,JUNE,34,23.5,89.8,78,9.6,90.95,Low,Camasan sandy clay loam,0
New Visayas,2020,JULY,33.8,23.5,87,74,4.5,90.95,Low,Camasan sandy clay loam,0
New Visayas,2020,AUG,33.7,22.8,91,70,17.7,90.95,Low,Camasan sandy clay loam,0
New Visayas,2020,SEPT,34,23.3,88,72,4.3,90.95,Low,Camasan sandy clay loam,0
New Visayas,2020,OCT,33.7,23.5,89,71,7.8,90.95,Low,Camasan sandy clay loam,0
New Visayas,2020,NOV,33.6,23,88,76,8.4,90.95,Low,Camasan sandy clay loam,0
New Visayas,2020,DEC,32.9,21.8,91.9,77.4,5.2,90.95,Low,Camasan sandy clay loam,0
New Visayas,2021,JAN,34.7,27.5,82,68,0.7,90.95,Low,Camasan sandy clay loam,0
New Visayas,2021,FEB,34.3,25.4,83,70,1.8,90.95,Low,Camasan sandy clay loam,0
New Visayas,2021,MAR,35.8,25.5,78,64,1,90.95,Low,Camasan sandy clay loam,0
New Visayas,2021,APR,34.4,25.43,82,69,5.4,90.95,Low,Camasan sandy clay loam,0
New Visayas,2021,MAY,35.4,24.6,83,73,6.8,90.95,Low,Camasan sandy clay loam,0
New Visayas,2021,JUNE,32.2,24.13,87,77,9.7,90.95,Low,Camasan sandy clay loam,0
New Visayas,2021,JULY,35.1,23.8,84,70,8.2,90.95,Low,Camasan sandy clay loam,0
New Visayas,2021,AUG,34.3,22.9,88,72,5,90.95,Low,Camasan sandy clay loam,0
New Visayas,2021,SEPT,34.3,23,88,72,8.9,90.95,Low,Camasan sandy clay loam,0
New Visayas,2021,OCT,34.5,22.4,89,71,6.9,90.95,Low,Camasan sandy clay loam,0
New Visayas,2021,NOV,32.7,22.3,89,76,7.2,90.95,Low,Camasan sandy clay loam,0
New Visayas,2021,DEC,31.9,21.8,90.3,79.9,4,90.95,Low,Camasan sandy clay loam,0
New Visayas,2022,JAN,32.2,21.2,89,73,8.9,90.95,Low,Camasan sandy clay loam,0
New Visayas,2022,FEB,29.8,19.6,90,75,7.6,90.95,Low,Camasan sandy clay loam,0
New Visayas,2022,MAR,31.7,21.6,89,78,9.5,90.95,Low,Camasan sandy clay loam,0
New Visayas,2022,APR,33.1,22.4,82,76,18.2,90.95,Low,Camasan sandy clay loam,0
New Visayas,2022,MAY,32.6,22.3,87,76,6.9,90.95,Low,Camasan sandy clay loam,0
New Visayas,2022,JUNE,34.1,22.3,82.4,66,3.6,90.95,Low,Camasan sandy clay loam,0
New Visayas,2022,JULY,34.2,22.1,89,77,9.9,90.95,Low,Camasan sandy clay loam,0
New Visayas,2022,AUG,34.1,21,86,71,5,90.95,Low,Camasan sandy clay loam,0
New Visayas,2023,MAR,32.2,23.9,87,73,8.3,90.95,Low,Camasan sandy clay loam,0
New Visayas,2023,APR,33.7,21.8,82,64,6.2,90.95,Low,Camasan sandy clay loam,0
New Visayas,2023,MAY,33.7,21.9,83,69,12.9,90.95,Low,Camasan sandy clay loam,0
New Visayas,2023,JUNE,33.7,21.4,87.57,69,11.7,90.95,Low,Camasan sandy clay loam,0
New Visayas,2023,JULY,32.4,21.2,85,72,5.7,90.95,Low,Camasan sandy clay loam,0
New Visayas,2023,AUG,33.6,21.5,85,70,12.3,90.95,Low,Camasan sandy clay loam,0
New Visayas,2024,JAN,34.7,27.5,82,68,0.7,90.95,Low,Camasan sandy clay loam,0
New Visayas,2024,FEB,34.3,25.4,83,70,1.8,90.95,Low,Camasan sandy clay loam,0
New Visayas,2024,MAR,35.8,25.5,78,64,1,90.95,Low,Camasan sandy clay loam,0
New Visayas,2024,APR,34.4,25.43,82,69,5.4,90.95,Low,Camasan sandy clay loam,0
New Visayas,2024,MAY,35.4,24.6,83,73,6.8,90.95,Low,Camasan sandy clay loam,0
Sangab,2019,JAN,30.7,22.3,93,76,11.3,100,Moderate,Camasan sandy clay loam,0
Sangab,2019,FEB,32.3,22.5,85,63,0.9,100,Moderate,Camasan sandy clay loam,0
Sangab,2019,MAR,32.8,23.2,85,65,4.4,100,Moderate,Camasan sandy clay loam,0
Sangab,2019,APR,34,24.7,82,69,2.2,100,Moderate,Camasan sandy clay loam,0
Sangab,2019,MAY,34.5,25.4,84,65,8.1,100,Moderate,Camasan sandy clay loam,0
Sangab,2019,JUNE,33.7,24.9,87.9,73,10.6,100,Moderate,Camasan sandy clay loam,0
Sangab,2019,JULY,32.2,23.8,90,74,6,100,Moderate,Camasan sandy clay loam,0
Sangab,2019,AUG,32.9,24.9,84,72,6.5,100,Moderate,Camasan sandy clay loam,0
Sangab,2019,SEPT,33.4,24.9,86,76,2,100,Moderate,Camasan sandy clay loam,0
Sangab,2019,OCT,33.9,24.3,87,72,8.6,100,Moderate,Camasan sandy clay loam,0
Sangab,2019,NOV,34.3,24.1,87,64,4.2,100,Moderate,Camasan sandy clay loam,0
Sangab,2019,DEC,32.3,23.2,89.1,71.6,5.4,100,Moderate,Camasan sandy clay loam,0
Sangab,2020,JAN,32.2,22.7,90,71,4.5,100,Moderate,Camasan sandy clay loam,0
Sangab,2020,FEB,32.4,22.1,89,72,1.2,100,Moderate,Camasan sandy clay loam,0
Sangab,2020,MAR,34.1,23,87,76,2.2,100,Moderate,Camasan sandy clay loam,0
Sangab,2020,APR,35,23.8,82,90,1.8,100,Moderate,Camasan sandy clay loam,0
Sangab,2020,MAY,34.4,24.9,89,76,7.2,100,Moderate,Camasan sandy clay loam,0
Sangab,2020,JUNE,34,23.5,89.8,78,9.6,100,Moderate,Camasan sandy clay loam,0
Sangab,2020,JULY,33.8,23.5,87,74,4.5,100,Moderate,Camasan sandy clay loam,0
Sangab,2020,AUG,33.7,22.8,91,70,17.7,100,Moderate,Camasan sandy clay loam,0
Sangab,2020,SEPT,34,23.3,88,72,4.3,100,Moderate,Camasan sandy clay loam,0
Sangab,2020,OCT,33.7,23.5,89,71,7.8,100,Moderate,Camasan sandy clay loam,0
Sangab,2020,NOV,33.6,23,88,76,8.4,100,Moderate,Camasan sandy clay loam,0
Sangab,2020,DEC,32.9,21.8,91.9,77.4,5.2,100,Moderate,Camasan sandy clay loam,0
Sangab,2021,JAN,34.7,27.5,82,68,0.7,100,Moderate,Camasan sandy clay loam,0
Sangab,2021,FEB,34.3,25.4,83,70,1.8,100,Moderate,Camasan sandy clay loam,0
Sangab,2021,MAR,35.8,25.5,78,64,1,100,Moderate,Camasan sandy clay loam,0
Sangab,2021,APR,34.4,25.43,82,69,5.4,100,Moderate,Camasan sandy clay loam,0
Sangab,2021,MAY,35.4,24.6,83,73,6.8,100,Moderate,Camasan sandy clay loam,0
Sangab,2021,JUNE,32.2,24.13,87,77,9.7,100,Moderate,Camasan sandy clay loam,0
Sangab,2021,JULY,35.1,23.8,84,70,8.2,100,Moderate,Camasan sandy clay loam,0
Sangab,2021,AUG,34.3,22.9,88,72,5,100,Moderate,Camasan sandy clay loam,0
Sangab,2021,SEPT,34.3,23,88,72,8.9,100,Moderate,Camasan sandy clay loam,0
Sangab,2021,OCT,34.5,22.4,89,71,6.9,100,Moderate,Camasan sandy clay loam,0
Sangab,2021,NOV,32.7,22.3,89,76,7.2,100,Moderate,Camasan sandy clay loam,0
Sangab,2021,DEC,31.9,21.8,90.3,79.9,4,100,Moderate,Camasan sandy clay loam,0
Sangab,2022,JAN,32.2,21.2,89,73,8.9,100,Moderate,Camasan sandy clay loam,0
Sangab,2022,FEB,29.8,19.6,90,75,7.6,100,Moderate,Camasan sandy clay loam,0
Sangab,2022,MAR,31.7,21.6,89,78,9.5,100,Moderate,Camasan sandy clay loam,0
Sangab,2022,APR,33.1,22.4,82,76,18.2,100,Moderate,Camasan sandy clay loam,0
Sangab,2022,MAY,32.6,22.3,87,76,6.9,100,Moderate,Camasan sandy clay loam,0
Sangab,2022,JUNE,34.1,22.3,82.4,66,3.6,100,Moderate,Camasan sandy clay loam,0
Sangab,2022,JULY,34.2,22.1,89,77,9.9,100,Moderate,Camasan sandy clay loam,0
Sangab,2022,AUG,34.1,21,86,71,5,100,Moderate,Camasan sandy clay loam,0
Sangab,2023,MAR,32.2,23.9,87,73,8.3,100,Moderate,Camasan sandy clay loam,0
Sangab,2023,APR,33.7,21.8,82,64,6.2,100,Moderate,Camasan sandy clay loam,0
Sangab,2023,MAY,33.7,21.9,83,69,12.9,100,Moderate,Camasan sandy clay loam,0
Sangab,2023,JUNE,33.7,21.4,87.57,69,11.7,100,Moderate,Camasan sandy clay loam,0
Sangab,2023,JULY,32.4,21.2,85,72,5.7,100,Moderate,Camasan sandy clay loam,0
Sangab,2023,AUG,33.6,21.5,85,70,12.3,100,Moderate,Camasan sandy clay loam,0
Sangab,2024,JAN,34.7,27.5,82,68,0.7,100,Moderate,Camasan sandy clay loam,0
Sangab,2024,FEB,34.3,25.4,83,70,1.8,100,Moderate,Camasan sandy clay loam,0
Sangab,2024,MAR,35.8,25.5,78,64,1,100,Moderate,Camasan sandy clay loam,0
Sangab,2024,APR,34.4,25.43,82,69,5.4,100,Moderate,Camasan sandy clay loam,0
Sangab,2024,MAY,35.4,24.6,83,73,6.8,100,Moderate,Camasan sandy clay loam,0
Libay-Libay,2019,JAN,30.7,22.3,93,76,11.3,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2019,FEB,32.3,22.5,85,63,0.9,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2019,MAR,32.8,23.2,85,65,4.4,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2019,APR,34,24.7,82,69,2.2,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2019,MAY,34.5,25.4,84,65,8.1,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2019,JUNE,33.7,24.9,87.9,73,10.6,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2019,JULY,32.2,23.8,90,74,6,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2019,AUG,32.9,24.9,84,72,6.5,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2019,SEPT,33.4,24.9,86,76,2,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2019,OCT,33.9,24.3,87,72,8.6,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2019,NOV,34.3,24.1,87,64,4.2,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2019,DEC,32.3,23.2,89.1,71.6,5.4,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2020,JAN,32.2,22.7,90,71,4.5,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2020,FEB,32.4,22.1,89,72,1.2,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2020,MAR,34.1,23,87,76,2.2,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2020,APR,35,23.8,82,90,1.8,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2020,MAY,34.4,24.9,89,76,7.2,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2020,JUNE,34,23.5,89.8,78,9.6,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2020,JULY,33.8,23.5,87,74,4.5,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2020,AUG,33.7,22.8,91,70,17.7,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2020,SEPT,34,23.3,88,72,4.3,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2020,OCT,33.7,23.5,89,71,7.8,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2020,NOV,33.6,23,88,76,8.4,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2020,DEC,32.9,21.8,91.9,77.4,5.2,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2021,JAN,34.7,27.5,82,68,0.7,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",1
Libay-Libay,2021,FEB,34.3,25.4,83,70,1.8,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2021,MAR,35.8,25.5,78,64,1,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2021,APR,34.4,25.43,82,69,5.4,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2021,MAY,35.4,24.6,83,73,6.8,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2021,JUNE,32.2,24.13,87,77,9.7,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2021,JULY,35.1,23.8,84,70,8.2,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2021,AUG,34.3,22.9,88,72,5,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2021,SEPT,34.3,23,88,72,8.9,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2021,OCT,34.5,22.4,89,71,6.9,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2021,NOV,32.7,22.3,89,76,7.2,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2021,DEC,31.9,21.8,90.3,79.9,4,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2022,JAN,32.2,21.2,89,73,8.9,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",1
Libay-Libay,2022,FEB,29.8,19.6,90,75,7.6,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2022,MAR,31.7,21.6,89,78,9.5,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2022,APR,33.1,22.4,82,76,18.2,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2022,MAY,32.6,22.3,87,76,6.9,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2022,JUNE,34.1,22.3,82.4,66,3.6,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2022,JULY,34.2,22.1,89,77,9.9,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2022,AUG,34.1,21,86,71,5,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2023,MAR,32.2,23.9,87,73,8.3,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",1
Libay-Libay,2023,APR,33.7,21.8,82,64,6.2,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2023,MAY,33.7,21.9,83,69,12.9,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2023,JUNE,33.7,21.4,87.57,69,11.7,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2023,JULY,32.4,21.2,85,72,5.7,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2023,AUG,33.6,21.5,85,70,12.3,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",8
Libay-Libay,2024,JAN,34.7,27.5,82,68,0.7,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",1
Libay-Libay,2024,FEB,34.3,25.4,83,70,1.8,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2024,MAR,35.8,25.5,78,64,1,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",1
Libay-Libay,2024,APR,34.4,25.43,82,69,5.4,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
Libay-Libay,2024,MAY,35.4,24.6,83,73,6.8,95.41,Moderate,"Camasan sandy clay loam, Mountain soil",0
New Austrias,2019,JAN,30.7,22.3,93,76,11.3,1.27,Low,Camasan sandy clay loam,0
New Austrias,2019,FEB,32.3,22.5,85,63,0.9,1.27,Low,Camasan sandy clay loam,0
New Austrias,2019,MAR,32.8,23.2,85,65,4.4,1.27,Low,Camasan sandy clay loam,0
New Austrias,2019,APR,34,24.7,82,69,2.2,1.27,Low,Camasan sandy clay loam,0
New Austrias,2019,MAY,34.5,25.4,84,65,8.1,1.27,Low,Camasan sandy clay loam,0
New Austrias,2019,JUNE,33.7,24.9,87.9,73,10.6,1.27,Low,Camasan sandy clay loam,0
New Austrias,2019,JULY,32.2,23.8,90,74,6,1.27,Low,Camasan sandy clay loam,0
New Austrias,2019,AUG,32.9,24.9,84,72,6.5,1.27,Low,Camasan sandy clay loam,0
New Austrias,2019,SEPT,33.4,24.9,86,76,2,1.27,Low,Camasan sandy clay loam,0
New Austrias,2019,OCT,33.9,24.3,87,72,8.6,1.27,Low,Camasan sandy clay loam,0
New Austrias,2019,NOV,34.3,24.1,87,64,4.2,1.27,Low,Camasan sandy clay loam,0
New Austrias,2019,DEC,32.3,23.2,89.1,71.6,5.4,1.27,Low,Camasan sandy clay loam,0
New Austrias,2020,JAN,32.2,22.7,90,71,4.5,1.27,Low,Camasan sandy clay loam,0
New Austrias,2020,FEB,32.4,22.1,89,72,1.2,1.27,Low,Camasan sandy clay loam,0
New Austrias,2020,MAR,34.1,23,87,76,2.2,1.27,Low,Camasan sandy clay loam,0
New Austrias,2020,APR,35,23.8,82,90,1.8,1.27,Low,Camasan sandy clay loam,0
New Austrias,2020,MAY,34.4,24.9,89,76,7.2,1.27,Low,Camasan sandy clay loam,0
New Austrias,2020,JUNE,34,23.5,89.8,78,9.6,1.27,Low,Camasan sandy clay loam,0
New Austrias,2020,JULY,33.8,23.5,87,74,4.5,1.27,Low,Camasan sandy clay loam,0
New Austrias,2020,AUG,33.7,22.8,91,70,17.7,1.27,Low,Camasan sandy clay loam,0
New Austrias,2020,SEPT,34,23.3,88,72,4.3,1.27,Low,Camasan sandy clay loam,0
New Austrias,2020,OCT,33.7,23.5,89,71,7.8,1.27,Low,Camasan sandy clay loam,0
New Austrias,2020,NOV,33.6,23,88,76,8.4,1.27,Low,Camasan sandy clay loam,0
New Austrias,2020,DEC,32.9,21.8,91.9,77.4,5.2,1.27,Low,Camasan sandy clay loam,0
New Austrias,2021,JAN,34.7,27.5,82,68,0.7,1.27,Low,Camasan sandy clay loam,0
New Austrias,2021,FEB,34.3,25.4,83,70,1.8,1.27,Low,Camasan sandy clay loam,0
New Austrias,2021,MAR,35.8,25.5,78,64,1,1.27,Low,Camasan sandy clay loam,0
New Austrias,2021,APR,34.4,25.43,82,69,5.4,1.27,Low,Camasan sandy clay loam,0
New Austrias,2021,MAY,35.4,24.6,83,73,6.8,1.27,Low,Camasan sandy clay loam,0
New Austrias,2021,JUNE,32.2,24.13,87,77,9.7,1.27,Low,Camasan sandy clay loam,0
New Austrias,2021,JULY,35.1,23.8,84,70,8.2,1.27,Low,Camasan sandy clay loam,0
New Austrias,2021,AUG,34.3,22.9,88,72,5,1.27,Low,Camasan sandy clay loam,0
New Austrias,2021,SEPT,34.3,23,88,72,8.9,1.27,Low,Camasan sandy clay loam,0
New Austrias,2021,OCT,34.5,22.4,89,71,6.9,1.27,Low,Camasan sandy clay loam,0
New Austrias,2021,NOV,32.7,22.3,89,76,7.2,1.27,Low,Camasan sandy clay loam,0
New Austrias,2021,DEC,31.9,21.8,90.3,79.9,4,1.27,Low,Camasan sandy clay loam,0
